database_size,elements_size,degree,query_size,query_construction_time,response_time,response_size
1000,18800,16384,215092,4639054,1139733838,204834
1000,28800,16384,215092,4378192,1392496093,204834
2000,18800,16384,215092,4400103,1395852747,204834
2000,28800,16384,215092,4338321,2286745253,204834
