database_size,elements_size,degree,query_size,query_construction_time,response_time,response_size
5000,20000,8192,107571,2579256,1717322442,102432
5000,22500,16384,215092,4587925,3974291270,204834
5000,25000,16384,215092,5013691,3688332188,204834
5000,27500,16384,215092,4853782,3791480022,204834
5000,30000,16384,215092,4424525,3724388393,204834
5000,32500,16384,215092,4323891,3549888601,204834
7500,15000,8192,107571,2396097,2104505374,102432
7500,17500,8192,107571,2601350,2012507344,102432
7500,20000,8192,107571,2113831,2080916090,102432
7500,22500,16384,215092,4957218,3972111451,204834
7500,25000,16384,215092,4532784,4190547210,204834
7500,27500,16384,215092,14712215,5235833346,204834
10000,10000,8192,107571,2178236,2309910247,102432
10000,12500,8192,107571,3175904,2468267812,102432
10000,15000,8192,107571,2937686,2522914097,102432
10000,17500,8192,107571,2194705,2508881731,102432
10000,20000,8192,107571,2090044,2773382468,102432
10000,22500,16384,215092,5166561,6153054387,204834
